AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2020,5,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,18-29 AÑOS,PERÚ,1
2019,6,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,F,12-17 AÑOS,PERÚ,6
2024,5,150805,REGIÓN LIMA,HUAURA,HUALMAY,M,12-17 AÑOS,PERÚ,2
2022,2,150103,LIMA METROPOLITANA,LIMA,ATE,M,12-17 AÑOS,PERÚ,1
2019,1,110106,ICA,ICA,PARCONA,M,60 A MAS AÑOS,PERÚ,1
2021,8,120301,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,F,12-17 AÑOS,PERÚ,1
2020,1,120114,JUNÍN,HUANCAYO,EL TAMBO,F,60 A MAS AÑOS,PERÚ,1
2024,4,210101,PUNO,PUNO,PUNO,F,12-17 AÑOS,PERÚ,6
2019,4,150119,LIMA METROPOLITANA,LIMA,LURIN,M,30-59 AÑOS,PERÚ,1
2024,2,211101,PUNO,SAN ROMAN,JULIACA,M,0-5 AÑOS,PERÚ,1
2021,8,80401,CUSCO,CALCA,CALCA,M,12-17 AÑOS,PERÚ,1
2024,2,150119,LIMA METROPOLITANA,LIMA,LURIN,F,12-17 AÑOS,PERÚ,4
2024,3,240101,TUMBES,TUMBES,TUMBES,F,12-17 AÑOS,PERÚ,2
2023,12,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,30-59 AÑOS,PERÚ,1
2025,7,80101,CUSCO,CUSCO,CUSCO,F,30-59 AÑOS,PERÚ,1
2020,12,61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,F,12-17 AÑOS,PERÚ,1
2025,3,200115,PIURA,PIURA,26 DE OCTUBRE,M,12-17 AÑOS,PERÚ,1
2021,1,200207,PIURA,AYABACA,PAIMAS,F,12-17 AÑOS,PERÚ,1
2024,4,160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,M,60 A MAS AÑOS,PERÚ,1
2019,12,120302,JUNÍN,CHANCHAMAYO,PERENE,F,12-17 AÑOS,PERÚ,3
2020,9,150801,REGIÓN LIMA,HUAURA,HUACHO,M,18-29 AÑOS,PERÚ,1
2019,12,80103,CUSCO,CUSCO,POROY,M,18-29 AÑOS,PERÚ,1
2023,11,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,30-59 AÑOS,PERÚ,1
2019,1,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,PERÚ,5
